
oa-b237d-prn1$Lexmark XS864+10.0.69.149 


oa-a134a-prn1$Lexmark XM7155+10.0.65.146 
oa-a100b-prn3$Lexmark XC9255+10.0.65.21 
oa-a102-prn1$Lexmark XS864+10.0.65.22 
oa-a115-prn2$Lexmark XM7155+10.1.64.17 
oa-a124a-prn1$Lexmark XS864+10.1.64.15 
oa-a124a-prn3$Lexmark XS864+10.0.65.24 


oa-a136-prn2$Lexmark XS864+10.0.65.140 
oa-a160-prn2$Lexmark XS864+10.1.64.16 

oa-a225-prn1$Lexmark XS864+10.1.64.151 
oa-a264-prn2$Lexmark XS864+10.1.64.152 
oa-a325-prn1$Lexmark XS864+10.1.65.11 
oa-a361-prn1$Lexmark XS864+10.1.65.12 
oa-aa4-prn1$Lexmark XS864+10.0.66.13
oa-aa33-prn1$Lexmark XS864+10.0.66.144 
oa-aa21-prn2$Lexmark XS864+10.0.66.146 
oa-as18-prn2$Lexmark XS864+10.0.67.12 
oa-b101-prn5$Lexmark XM7155+10.0.67.151 
oa-b102-prn2$Lexmark T654+10.0.67.154 
oa-b104g-prn1$Lexmark XS864+10.0.67.157 
oa-b103-prn3$Lexmark X748+10.0.67.158 
oa-b104-prn3$Lexmark XS864+10.0.67.159 
oa-b105-prn4$Lexmark XM7155+10.0.67.160 
oa-b114-prn3$Lexmark XM7155+10.0.68.18 
oa-b129-prn3$Lexmark XS864+10.0.68.150
oa-b117-prn4$Lexmark XS864+10.0.68.19 
oa-b139-prn1$Lexmark XS864+10.0.68.151 
oa-b209-prn3$Lexmark XS864+10.0.69.21 
oa-b209-prn4$Lexmark XS864+10.0.69.22 
oa-b206-prn1$Lexmark XS864+10.0.69.25 
oa-b326-prn5$Lexmark XS864+10.0.69.40 
oa-b230-prn2$Lexmark XS864+10.0.69.41 
oa-b244-prn3$Lexmark XS864+10.0.69.142 
oa-b244-prn5$Lexmark XS864+10.0.69.144 
oa-b244-prn8$Lexmark XS864+10.0.69.150 
oa-b255-prn1$Lexmark XS864+10.0.69.147
oa-b255-prn2$Lexmark XS864+10.0.69.151 
oa-b237-prn1$Lexmark XS864+10.0.69.153 
oa-b237-prn2$Lexmark XS864+10.0.69.154 
oa-b302-prn3$Lexmark XS864+10.0.70.13 
oa-b302-prn2$Lexmark XM7155+10.0.70.15 
oa-b309-prn1$Lexmark XS864+10.0.70.20 
oa-b352-prn1$Lexmark XM7155+10.0.70.145 
oa-b360-prn1$Lexmark XS864+10.0.70.147 
oa-b358-prn1$Lexmark XS864+10.0.70.148 
oa-b356-prn1$Lexmark XM7155+10.0.70.153 
oa-b303-prn3$Lexmark XM7155+10.0.70.154 
oa-b360-prn2$Lexmark XS864+10.0.70.155 
oa-bb19-prn2$Lexmark XM7155+10.0.71.11 
oa-bb11-prn5$Lexmark XS864+10.0.71.145 
oa-bb29-prn2$Lexmark XS864+10.0.71.149 
oa-bb25-prn2$Lexmark XS864+10.0.71.151 
oa-bb12-prn4$Lexmark XS864+10.0.71.152 
oa-bb26-prn2$Lexmark XM7155+10.0.71.153 
oa-c111-prn1$Lexmark XM7155+10.0.64.139 
C109-prn1$Lexmark XM7155+10.0.64.140 
